booking_code,booking_received_at,booking_pushed_at,latency_interval,latency_in_seconds
NH75165387083438,2025-02-24T05:14:47.642,2025-02-24T05:15:00.207,0 years 0 mons 0 days 0 hours 0 mins 12.565 secs,12.565000
NH74074387235856,2025-02-24T05:47:05.83,2025-02-24T05:48:00.156,0 years 0 mons 0 days 0 hours 0 mins 54.326 secs,54.326000
NH74027387258934,2025-02-24T05:49:53.175,2025-02-24T05:50:00.176,0 years 0 mons 0 days 0 hours 0 mins 7.001 secs,7.001000
NH71169387075516,2025-02-24T05:57:29.174,2025-02-24T05:58:00.144,0 years 0 mons 0 days 0 hours 0 mins 30.97 secs,30.970000
NH70210387203544,2025-02-24T06:06:40.253,2025-02-24T06:07:00.168,0 years 0 mons 0 days 0 hours 0 mins 19.915 secs,19.915000
GH75098238014660,2025-02-24T09:24:06.398,2025-02-24T09:25:00.338,0 years 0 mons 0 days 0 hours 0 mins 53.94 secs,53.940000
NH78155387471822,2025-02-24T13:04:05.273,2025-02-24T13:05:00.158,0 years 0 mons 0 days 0 hours 0 mins 54.885 secs,54.885000
NH70210387175932,2025-02-24T06:16:51.519,2025-02-24T06:17:00.196,0 years 0 mons 0 days 0 hours 0 mins 8.677 secs,8.677000
NH70210387134668,2025-02-24T06:21:35.766,2025-02-24T06:22:00.119,0 years 0 mons 0 days 0 hours 0 mins 24.353 secs,24.353000
GH74158238013050,2025-02-24T09:27:25.981,2025-02-24T09:28:00.279,0 years 0 mons 0 days 0 hours 0 mins 34.298 secs,34.298000
GH25216237222502,2025-02-24T09:30:29.129,2025-02-24T09:31:00.17,0 years 0 mons 0 days 0 hours 0 mins 31.041 secs,31.041000
HMTRFRN8KA,2025-02-24T06:37:52.015,2025-02-24T06:38:00.168,0 years 0 mons 0 days 0 hours 0 mins 8.153 secs,8.153000
4814243419,2025-02-24T09:37:29.872,2025-02-24T09:38:00.187,0 years 0 mons 0 days 0 hours 0 mins 30.315 secs,30.315000
HMQDAAQBNR,2025-02-24T07:10:29.508,2025-02-24T07:11:00.164,0 years 0 mons 0 days 0 hours 0 mins 30.656 secs,30.656000
HMJKD3T5ES,2025-02-24T07:12:36.852,2025-02-24T07:13:00.122,0 years 0 mons 0 days 0 hours 0 mins 23.27 secs,23.270000
HM9H92SPNY,2025-02-24T07:31:27.566,2025-02-24T07:32:00.179,0 years 0 mons 0 days 0 hours 0 mins 32.613 secs,32.613000
GXM250224JYIYI64A,2025-02-24T08:05:22.566,2025-02-24T08:06:00.136,0 years 0 mons 0 days 0 hours 0 mins 37.57 secs,37.570000
GXM250224IBKPUJPI,2025-02-24T13:14:43.976,2025-02-24T13:15:00.247,0 years 0 mons 0 days 0 hours 0 mins 16.271 secs,16.271000
GXM250224RRNDLNTT,2025-02-24T10:32:29.516,2025-02-24T10:33:00.164,0 years 0 mons 0 days 0 hours 0 mins 30.648 secs,30.648000
GXM250224K9OVOWT3,2025-02-24T10:39:15.067,2025-02-24T10:40:00.186,0 years 0 mons 0 days 0 hours 0 mins 45.119 secs,45.119000
GXM250224Q23C-POX,2025-02-24T10:36:23.628,2025-02-24T10:37:00.163,0 years 0 mons 0 days 0 hours 0 mins 36.535 secs,36.535000
GXM250224BVHBOUZQ,2025-02-24T10:42:27.334,2025-02-24T10:43:00.158,0 years 0 mons 0 days 0 hours 0 mins 32.824 secs,32.824000
GXM250224HX572KI7,2025-02-24T10:45:07.061,2025-02-24T10:46:00.149,0 years 0 mons 0 days 0 hours 0 mins 53.088 secs,53.088000
GXM250224JCCTTBJL,2025-02-24T10:53:29.88,2025-02-24T10:54:00.148,0 years 0 mons 0 days 0 hours 0 mins 30.268 secs,30.268000
GXM250224KLON1GZV,2025-02-24T13:24:22.119,2025-02-24T13:25:00.207,0 years 0 mons 0 days 0 hours 0 mins 38.088 secs,38.088000
GXM250224RDERDA4S,2025-02-24T11:28:59.27,2025-02-24T11:29:00.156,0 years 0 mons 0 days 0 hours 0 mins 0.886 secs,0.886000
GXM2502245GQ0EYX-,2025-02-24T13:32:21.163,2025-02-24T13:33:00.171,0 years 0 mons 0 days 0 hours 0 mins 39.008 secs,39.008000
GXM2502241CZDYQMQ,2025-02-24T11:33:12.265,2025-02-24T11:34:00.138,0 years 0 mons 0 days 0 hours 0 mins 47.873 secs,47.873000
GXM250224WDQDW1I5,2025-02-24T11:39:06.414,2025-02-24T11:40:00.211,0 years 0 mons 0 days 0 hours 0 mins 53.797 secs,53.797000
HM3EF8BA2Y,2025-02-24T11:57:58.328,2025-02-24T11:58:00.186,0 years 0 mons 0 days 0 hours 0 mins 1.858 secs,1.858000
NH79198387348516,2025-02-24T12:08:06.635,2025-02-24T12:09:00.158,0 years 0 mons 0 days 0 hours 0 mins 53.523 secs,53.523000
NH79198387294948,2025-02-24T12:10:20.081,2025-02-24T12:11:00.167,0 years 0 mons 0 days 0 hours 0 mins 40.086 secs,40.086000
NH75199387407088,2025-02-24T12:16:48.397,2025-02-24T12:17:00.149,0 years 0 mons 0 days 0 hours 0 mins 11.752 secs,11.752000
GXM250224DS9MHANR,2025-02-24T15:51:13.505,2025-02-24T15:52:00.187,0 years 0 mons 0 days 0 hours 0 mins 46.682 secs,46.682000
GXM250224DUEESJVX,2025-02-24T15:52:19.628,2025-02-24T15:53:00.096,0 years 0 mons 0 days 0 hours 0 mins 40.468 secs,40.468000
NH76095387613616,2025-02-25T08:36:13.137,2025-02-25T08:37:00.855,0 years 0 mons 0 days 0 hours 0 mins 47.718 secs,47.718000
NH79111387497882,2025-02-25T04:53:48.885,2025-02-25T04:54:00.176,0 years 0 mons 0 days 0 hours 0 mins 11.291 secs,11.291000
NH79111387494052,2025-02-25T04:56:20.654,2025-02-25T04:57:00.151,0 years 0 mons 0 days 0 hours 0 mins 39.497 secs,39.497000
NH78155387480462,2025-02-25T05:00:08.72,2025-02-25T05:01:00.166,0 years 0 mons 0 days 0 hours 0 mins 51.446 secs,51.446000
NH78155387475200,2025-02-25T05:02:34.376,2025-02-25T05:03:00.115,0 years 0 mons 0 days 0 hours 0 mins 25.739 secs,25.739000
NH77226387500926,2025-02-25T05:04:59.063,2025-02-25T05:05:00.186,0 years 0 mons 0 days 0 hours 0 mins 1.123 secs,1.123000
NH75199387498518,2025-02-25T05:09:58.016,2025-02-25T05:10:00.242,0 years 0 mons 0 days 0 hours 0 mins 2.226 secs,2.226000
